,ALL INDIA LIST OF DISTRICTS,,,
,Phase 1 - 54 Districts - PAHAL (DBTL) launched on 15.11.2014,,,
S.No.,State,Districts,Phase,
125 Delhi,North_West_Delhi,Phase,2
126 Delhi,Shahdara,Phase,2
127 Delhi,South East Delhi,Phase,2
128 Delhi,South_Delhi,Phase,2
129 Delhi,South_West_Delhi,Phase,2
130 Delhi,West_Delhi,Phase,2
131 Gujarat,Ahmedabad,Phase,2
132 Gujarat,Amreli,Phase,2
133 Gujarat,Anand,Phase,2
134 Gujarat,Aravalli,Phase,2
135 Gujarat,Banaskantha,Phase,2
136 Gujarat,Bharuch,Phase,2
137 Gujarat,Bhavnagar,Phase,2

138 Gujarat,Botad,Phase,2
139 Gujarat,Chhotaudepur,Phase,2
140 Gujarat,Dahod,Phase,2
141 Gujarat,Devbhumi Dwarka,Phase,2
142 Gujarat,Gandhinagar,Phase,2
143 Gujarat,Gir Somnath,Phase,2
144 Gujarat,Jamnagar,Phase,2
145 Gujarat,Junagadh,Phase,2
146 Gujarat,Kachchh,Phase,2
147 Gujarat,Kheda,Phase,2
148 Gujarat,Mahesana,Phase,2
149 Gujarat,Mahisagar,Phase,2
150 Gujarat,Morbi,Phase,2
151 Gujarat,Narmada,Phase,2
152 Gujarat,Navsari,Phase,2
153 Gujarat,Panchmahals,Phase,2
154 Gujarat,Patan,Phase,2
155 Gujarat,Porbandar,Phase,2
156 Gujarat,Rajkot,Phase,2
157 Gujarat,Sabarkantha,Phase,2
158 Gujarat,Surat,Phase,2
159 Gujarat,Surendra_Nagar,Phase,2
160 Gujarat,Tapi,Phase,2
161 Gujarat,The_Dangs,Phase,2
162 Gujarat,Vadodara,Phase,2
163 Gujarat,Valsad,Phase,2
164 Haryana,Ambala,Phase,2
165 Haryana,Bhiwani,Phase,2
166 Haryana,Faridabad,Phase,2
167 Haryana,Fatehabad,Phase,2
168 Haryana,Gurgaon,Phase,2
169 Haryana,Hisar,Phase,2
170 Haryana,Jhajjar,Phase,2

171 Haryana,Jind,Phase,2
172 Haryana,Kaithal,Phase,2
173 Haryana,Karnal,Phase,2
174 Haryana,Kurukshetra,Phase,2
175 Haryana,Mahendragarh,Phase,2
176 Haryana,Mewat,Phase,2
177 Haryana,Palwal,Phase,2
178 Haryana,Panchkula,Phase,2
179 Haryana,Panipat,Phase,2
180 Haryana,Rewari,Phase,2
181 Haryana,Rohtak,Phase,2
182 Haryana,Sirsa,Phase,2
183 Haryana,Sonipat,Phase,2
184 Haryana,Yamuna_Nagar,Phase,2
185 Himachal_Pradesh,Kinnaur,Phase,2
186 Himachal_Pradesh,Lahul_and_Spiti,Phase,2
187 Jammu_and_Kashmir,Anantnag,Phase,2
188 Jammu_and_Kashmir,Badgam,Phase,2
189 Jammu_and_Kashmir,Bandipore,Phase,2
190 Jammu_and_Kashmir,Baramula,Phase,2
191 Jammu_and_Kashmir,Doda,Phase,2
192 Jammu_and_Kashmir,Ganderbal,Phase,2
193 Jammu_and_Kashmir,Jammu,Phase,2
194 Jammu_and_Kashmir,Kargil,Phase,2
195 Jammu_and_Kashmir,Kathua,Phase,2
196 Jammu_and_Kashmir,Kishtwar,Phase,2
197 Jammu_and_Kashmir,Kulgam,Phase,2
198 Jammu_and_Kashmir,Kupwara,Phase,2
199 Jammu_and_Kashmir,Leh,Phase,2
200 Jammu_and_Kashmir,Pulwama,Phase,2
201 Jammu_and_Kashmir,Punch,Phase,2
202 Jammu_and_Kashmir,Rajouri,Phase,2
203 Jammu_and_Kashmir,Ramban,Phase,2

204 Jammu_and_Kashmir,Reasi,Phase,2
205 Jammu_and_Kashmir,Samba,Phase,2
206 Jammu_and_Kashmir,Shupiyan,Phase,2
207 Jammu_and_Kashmir,Srinagar,Phase,2
208 Jammu_and_Kashmir,Udhampur,Phase,2
209 Jharkhand,Bokaro,Phase,2
210 Jharkhand,Chatra,Phase,2
